step,ss_mse,ss_mse_db,family,snr_db,seed
172000,0.01048040632840513,-19.79621879260918,gaussian,20.0,7
172000,0.0029010003436090075,-25.37452219607615,colored,20.0,7
172000,0.0033622125066374324,-24.733748405760156,impulsive,20.0,7
176000,0.1692759718841052,-7.714046840546759,gaussian,20.0,7
176000,0.34399503387316827,-4.634478271279271,time_varying,15.0,7
176000,0.007846076559999105,-21.05347458396489,time_varying,5.0,7
176000,0.003930272821177849,-24.05577301773701,colored,20.0,7
180000,0.03495012367526398,-14.565512830993024,time_varying,15.0,7
180000,6.946701236872359,8.417786211764396,time_varying,20.0,7
180000,0.027403180989969893,-15.621990208788873,colored,5.0,7
180000,0.05151073571512082,-12.881022471458294,colored,15.0,7
184000,4.586540859852803,6.614852668352204,time_varying,20.0,7
184000,0.014119895235681152,-18.501685255434268,colored,20.0,7
184000,0.031210890547454448,-15.05693839320511,colored,15.0,7
184000,0.16790909536214313,-7.749257781976409,time_varying,15.0,7
188000,0.20546599368278912,-6.87260047158171,impulsive,15.0,7
188000,0.01304385143474908,-18.845941562783633,gaussian,10.0,7
188000,1.0766817355426637,0.32087345894101726,impulsive,10.0,7
188000,0.12903537376045146,-8.892912158755244,colored,10.0,7
192000,0.007568874627523399,-21.209686883935483,impulsive,10.0,7
192000,0.011114747469313858,-19.541004001260422,colored,10.0,7
192000,0.013277862662411837,-18.7687182769323,colored,20.0,7
192000,0.001902663945086495,-27.206379112653856,gaussian,20.0,7
196000,0.010398849424646063,-19.830147102911965,gaussian,20.0,7
196000,0.007634731068011631,-21.17206256223968,gaussian,10.0,7
196000,3.8390229401992273,5.842207072652574,gaussian,5.0,7
196000,0.006686372805537608,-21.748094124714882,gaussian,20.0,7
200000,0.00844522977365359,-20.733885298103676,impulsive,15.0,7
200000,41.833796514311,16.215272796032803,colored,0.0,7
200000,0.11790921829579305,-9.284522398673536,time_varying,5.0,7
200000,0.08782337341769497,-10.563898850523259,colored,0.0,7
204000,0.01905376294338005,-17.20019242319229,colored,20.0,7
204000,0.003843188165357355,-24.153083515205303,time_varying,10.0,7
204000,0.003912886948444584,-24.07502699490488,time_varying,15.0,7
204000,0.01126627590646254,-19.482196172386722,colored,10.0,7
208000,0.005572762351561597,-22.53929476802359,impulsive,15.0,7
208000,0.05685154561769188,-12.452577236843506,colored,0.0,7
208000,0.023683162134621575,-16.255603118153687,gaussian,10.0,7
208000,0.07598762300023708,-11.192571406140457,time_varying,15.0,7
212000,0.4422967011795182,-3.542862997541593,impulsive,10.0,7
212000,0.10410655671449376,-9.825219174089057,time_varying,0.0,7
212000,0.4339777970159298,-3.62532489104289,colored,0.0,7
212000,0.05919494202747026,-12.277154004218398,colored,0.0,7
216000,0.004129018596070343,-23.841531610616403,impulsive,20.0,7
216000,0.19819746497192717,-7.029019046202186,colored,10.0,7
216000,0.02824142121042571,-15.491134517863438,colored,10.0,7
216000,0.016391113376409697,-17.85391545682536,gaussian,10.0,7
220000,0.03219829050889099,-14.921671855038403,colored,5.0,7
220000,1.1582840563526804,0.6381507837144752,time_varying,0.0,7
220000,0.23244524047651333,-6.336793419546067,colored,20.0,7
220000,0.6001992419050776,-2.2170455745534348,gaussian,0.0,7
