method,family,snr_db,seed,ss_mse,ss_mse_db,ep_mse,conv_time,inference_time_ms
PPO-NLMS-s142,alpha_stable,10.0,0,0.029251288762983947,-15.338549948550753,0.039580588885358474,108,1389.7815529999207
PPO-NLMS-s142,alpha_stable,10.0,1,0.019190935969401544,-17.16903843562185,0.029596452001270968,103,1364.8087730034604
PPO-NLMS-s142,alpha_stable,10.0,2,0.027774558312749914,-15.563528387210773,0.03470112372082685,117,1356.6758500019205
PPO-NLMS-s142,alpha_stable,10.0,3,0.04448406716417762,-13.517955121939202,0.038063217037879765,117,1357.2174220025772
PPO-NLMS-s142,alpha_stable,10.0,4,0.03408261622840988,-14.674670755724062,0.04601925441632962,115,1363.3296890038764
PPO-NLMS-s142,burst,10.0,0,0.08081496975739427,-10.925081852489738,0.039932946849675285,249,1374.0728720003972
PPO-NLMS-s142,burst,10.0,1,0.0262138916183014,-15.814685004830697,0.028327279813670954,100,1398.1543940026313
PPO-NLMS-s142,burst,10.0,2,0.01756308297408189,-17.55399246884133,0.036537982747477,100,1303.9149079995696
PPO-NLMS-s142,burst,10.0,3,0.041308057517322666,-13.839652269287253,0.036091135808461995,100,1325.6082109946874
PPO-NLMS-s142,burst,10.0,4,0.009042201891015662,-20.43725800375217,0.03232613276449321,102,1303.8051619951148
PPO-NLMS-s142,chirp_interferer,10.0,0,0.02354436933924705,-16.2811293808254,0.03425330099343401,112,1309.6906680002576
PPO-NLMS-s142,chirp_interferer,10.0,1,0.011311524284546045,-19.46478867736233,0.02249023310007305,100,1313.2942939992063
PPO-NLMS-s142,chirp_interferer,10.0,2,0.045348115631745116,-13.434407546304232,0.03354152545076272,145,1300.6901970002218
PPO-NLMS-s142,chirp_interferer,10.0,3,0.031689259554575314,-14.990879083226263,0.03449255331897292,163,1281.4198729975033
PPO-NLMS-s142,chirp_interferer,10.0,4,0.050049576702260415,-13.005995912359234,0.03379366709643881,110,1279.8113640019437
