mse,ss_mse,ss_mse_db,conv_time,snr_improvement_db,filter,noise,seed
0.03081092680349594,0.013388061231509752,-18.732823099921596,103,3.921088300282271,NLMS,chirp_interferer,0
0.05825457855028931,0.047265503460567015,-13.254557117380354,149,1.15483527628259,VSS-LMS,chirp_interferer,0
0.035174437743697044,0.013654204721640579,-18.64733589894581,100,3.34586428221456,RLS,chirp_interferer,0
0.03691540997682658,0.009806808847205542,-20.084722897737525,987,3.1360589628196056,LMS,chirp_interferer,1
0.01913598756984209,0.006159164015003078,-22.104782306724275,257,5.989627120596817,NLMS,chirp_interferer,1
0.049767438001132175,0.02716573325408507,-15.659785680335563,3016,1.8386830818631594,VSS-LMS,chirp_interferer,1
0.025235371864146074,0.006885542690252237,-21.62061824684038,999,4.788038834625889,RLS,chirp_interferer,1
0.04943081011744144,0.02511791780292723,-16.0001636508392,1964,1.8681586414216795,LMS,chirp_interferer,2
0.02942059930463648,0.014078181903183965,-18.514534275776526,100,4.1216207710750865,NLMS,chirp_interferer,2
0.062082499057065706,0.04979412357420905,-13.028219072291648,4000,0.8784440167009144,VSS-LMS,chirp_interferer,2
0.04087005455242232,0.014985510396063415,-18.243284606693987,103,2.6940837487720817,RLS,chirp_interferer,2
0.14130855400106335,0.04368520468612125,-13.596656250597166,3247,6.271346940332781,LMS,regime_switch,0
0.1648046787710823,0.04350271319054651,-13.614836559793586,3241,5.6033360928197355,NLMS,regime_switch,0
0.1462270058136378,0.04922490134844106,-13.078151455491396,3338,6.122755590026632,VSS-LMS,regime_switch,0
0.16139606460784148,0.06780278560069088,-11.68752463262852,3611,5.694102054301521,RLS,regime_switch,0
0.021654332330260456,0.007409134321540038,-21.302325316841653,223,1.5786109886789053,LMS,regime_switch,1
0.013353052467402904,0.006209192821647587,-22.069648531977364,100,3.6782534103706244,NLMS,regime_switch,1
0.025809742921800948,0.01815595511402592,-17.40980899586418,133,0.8162221773640432,VSS-LMS,regime_switch,1
0.016107705525961327,0.00557509510105678,-22.53747719858959,100,2.8637221507131105,RLS,regime_switch,1
0.12509350035172018,0.051548871282852814,-12.87780839605702,719,6.745963601278849,LMS,regime_switch,2
0.12543200685899175,0.044026856638627716,-13.562823205090492,511,6.734227343418439,NLMS,regime_switch,2
0.15394172420252408,0.06204905410253636,-12.07264834644635,3601,5.844747586912973,VSS-LMS,regime_switch,2
0.1487991473625578,0.05437680068584537,-12.645863481446716,3563,5.99230662539745,RLS,regime_switch,2
