ablation,family,seed,snr_db,ss_mse_db
lstm=128,gaussian,1,20,-23.469613350612192
lstm=128,gaussian,2,20,-23.09586874823875
lstm=128,colored,0,0,-10.073787724285964
lstm=128,colored,1,0,-12.16982634792884
lstm=128,colored,2,0,-7.331013065931089
lstm=128,colored,0,10,-14.239737636153421
lstm=128,colored,1,10,-18.132296037145746
lstm=128,colored,2,10,-10.971260154289643
lstm=128,colored,0,20,-18.658593424059585
lstm=128,colored,1,20,-25.160024736039077
lstm=128,colored,2,20,-27.139606290982748
lstm=128,impulsive,0,0,-9.024337322970531
lstm=128,impulsive,1,0,-9.78923360384356
lstm=128,impulsive,2,0,-6.7924960854953875
lstm=128,impulsive,0,10,-12.664558304800874
lstm=128,impulsive,1,10,-16.821290372450974
lstm=128,impulsive,2,10,-10.645386388849738
lstm=128,impulsive,0,20,-16.816441749131087
lstm=128,impulsive,1,20,-23.686108199948638
lstm=128,impulsive,2,20,-20.289242401914315
lstm=128,time_varying,0,0,-15.203009035073586
lstm=128,time_varying,1,0,-12.57395802790751
lstm=128,time_varying,2,0,-15.73229271569545
lstm=128,time_varying,0,10,-15.203009035073586
lstm=128,time_varying,1,10,-12.57395802790751
lstm=128,time_varying,2,10,-15.73229271569545
lstm=128,time_varying,0,20,-15.203009035073586
lstm=128,time_varying,1,20,-12.57395802790751
lstm=128,time_varying,2,20,-15.73229271569545
lstm=128,regime_switch,0,0,-14.522887967744342
lstm=128,regime_switch,1,0,-19.392290034253875
lstm=128,regime_switch,2,0,-9.187069949626022
lstm=128,regime_switch,0,10,-14.522887967744342
lstm=128,regime_switch,1,10,-19.392290034253875
lstm=128,regime_switch,2,10,-9.187069949626022
lstm=128,regime_switch,0,20,-14.522887967744342
lstm=128,regime_switch,1,20,-19.392290034253875
lstm=128,regime_switch,2,20,-9.187069949626022
lstm=64,gaussian,0,0,-7.305589361367966
lstm=64,gaussian,1,0,-7.485981089459282
lstm=64,gaussian,2,0,-7.362551037151519
lstm=64,gaussian,0,10,-9.268258785430362
lstm=64,gaussian,1,10,-9.431781346630363
lstm=64,gaussian,2,10,-7.896183936210588
lstm=64,gaussian,0,20,-10.310407249368845
lstm=64,gaussian,1,20,-10.5106731574248
lstm=64,gaussian,2,20,-8.472983391691095
lstm=64,colored,0,0,-8.006522065742448
lstm=64,colored,1,0,-8.341483799691584
lstm=64,colored,2,0,-7.711062856080878
lstm=64,colored,0,10,-9.987400067326217
lstm=64,colored,1,10,-9.827667034273414
lstm=64,colored,2,10,-8.372588670524427
lstm=64,colored,0,20,-10.529349954806905
lstm=64,colored,1,20,-10.871261325091366
lstm=64,colored,2,20,-8.63451237736017
lstm=64,impulsive,0,0,-8.172310932945646
lstm=64,impulsive,1,0,-8.10627371577134
lstm=64,impulsive,2,0,-6.607271979587402
lstm=64,impulsive,0,10,-9.572205624182486
lstm=64,impulsive,1,10,-9.72795846915933
lstm=64,impulsive,2,10,-7.625505799478534
lstm=64,impulsive,0,20,-10.382757042086649
lstm=64,impulsive,1,20,-10.822769832076087
lstm=64,impulsive,2,20,-8.428806573643312
lstm=64,time_varying,0,0,-10.369538082259059
lstm=64,time_varying,1,0,-9.099012462573558
lstm=64,time_varying,2,0,-8.622267940295231
lstm=64,time_varying,0,10,-10.369538082259059
lstm=64,time_varying,1,10,-9.099012462573558
lstm=64,time_varying,2,10,-8.622267940295231
lstm=64,time_varying,0,20,-10.369538082259059
lstm=64,time_varying,1,20,-9.099012462573558
lstm=64,time_varying,2,20,-8.622267940295231
lstm=64,regime_switch,0,0,-10.171904896798535
lstm=64,regime_switch,1,0,-10.88252982538851
lstm=64,regime_switch,2,0,-9.205557089653135
lstm=64,regime_switch,0,10,-10.171904896798535
lstm=64,regime_switch,1,10,-10.88252982538851
lstm=64,regime_switch,2,10,-9.205557089653135
lstm=64,regime_switch,0,20,-10.171904896798535
lstm=64,regime_switch,1,20,-10.88252982538851
lstm=64,regime_switch,2,20,-9.205557089653135
mu_max=1.0,gaussian,0,0,-7.18563072133651
mu_max=1.0,gaussian,1,0,-9.691614430110917
mu_max=1.0,gaussian,2,0,-7.686332691531982
mu_max=1.0,gaussian,0,10,-13.104382820608457
mu_max=1.0,gaussian,1,10,-16.911819959780075
mu_max=1.0,gaussian,2,10,-14.52904141056862
mu_max=1.0,gaussian,0,20,-23.353055772947258
mu_max=1.0,gaussian,1,20,-22.237888592467407
mu_max=1.0,gaussian,2,20,-23.94898812559431
mu_max=1.0,colored,0,0,-11.152474593812627
mu_max=1.0,colored,1,0,-12.694919607021859
mu_max=1.0,colored,2,0,-9.105347066989316
mu_max=1.0,colored,0,10,-19.24491297337822
mu_max=1.0,colored,1,10,-18.442261860837753
mu_max=1.0,colored,2,10,-16.55162703624932
mu_max=1.0,colored,0,20,-27.43281248623596
mu_max=1.0,colored,1,20,-22.59824186325435
mu_max=1.0,colored,2,20,-24.968163829164137
mu_max=1.0,impulsive,0,0,-8.704140252020364
mu_max=1.0,impulsive,1,0,-9.93538937845311
mu_max=1.0,impulsive,2,0,-5.980001204027456
mu_max=1.0,impulsive,0,10,-14.969243271226063
mu_max=1.0,impulsive,1,10,-17.853117043124303
mu_max=1.0,impulsive,2,10,-11.792214910058394
mu_max=1.0,impulsive,0,20,-25.13418948015405
mu_max=1.0,impulsive,1,20,-22.679009760457692
mu_max=1.0,impulsive,2,20,-20.922587698598054
mu_max=1.0,time_varying,0,0,-21.54528304798456
mu_max=1.0,time_varying,1,0,-13.701973351779962
mu_max=1.0,time_varying,2,0,-18.352228893617976
mu_max=1.0,time_varying,0,10,-21.54528304798456
mu_max=1.0,time_varying,1,10,-13.701973351779962
mu_max=1.0,time_varying,2,10,-18.352228893617976
mu_max=1.0,time_varying,0,20,-21.54528304798456
mu_max=1.0,time_varying,1,20,-13.701973351779962
mu_max=1.0,time_varying,2,20,-18.352228893617976
mu_max=1.0,regime_switch,0,0,-18.372743561497888
mu_max=1.0,regime_switch,1,0,-19.63921082106712
mu_max=1.0,regime_switch,2,0,-10.820852374603502
mu_max=1.0,regime_switch,0,10,-18.372743561497888
mu_max=1.0,regime_switch,1,10,-19.63921082106712
mu_max=1.0,regime_switch,2,10,-10.820852374603502
mu_max=1.0,regime_switch,0,20,-18.372743561497888
mu_max=1.0,regime_switch,1,20,-19.63921082106712
mu_max=1.0,regime_switch,2,20,-10.820852374603502
