mse,ss_mse,ss_mse_db,conv_time,snr_improvement_db,train_family,eval_family,seed,model
0.010661051120593562,0.007583920984055533,-21.201062004502027,135,8.530135664139955,colored,impulsive,2,CNN
0.011477312875580232,0.0021847548625116165,-26.605972851908824,138,8.791718364256429,colored,time_varying,0,CNN
0.012811583536906888,0.006681748934897107,-21.751098468366116,136,8.727675603602862,colored,time_varying,1,CNN
0.017727055162680975,0.002285277575848732,-26.41061041645676,136,10.104074072598813,colored,time_varying,2,CNN
0.009880293565403415,0.006827557266194701,-21.65734648460679,138,8.8604374361284,colored,alpha_stable,0,CNN
0.010041000259259513,0.009799349513184489,-20.08802752039786,135,8.790366139527846,colored,alpha_stable,1,CNN
0.010533855773818207,0.009060609224588905,-20.428425998489985,135,8.582262244046555,colored,alpha_stable,2,CNN
0.009647683195957973,0.006180504094750742,-22.089761014363283,135,8.963905582777079,colored,burst,0,CNN
0.01175271984538371,0.001102332790890854,-29.57687273122142,173,8.106752084378712,colored,burst,1,CNN
0.010100797990259135,0.016607481257171982,-17.796962289949228,135,8.764579066716044,colored,burst,2,CNN
0.02052955180556387,0.0075581808652468874,-21.21582719686384,303,5.684341241655666,colored,chirp_interferer,0,CNN
0.01375496938539415,0.003049652476978505,-25.157496477008724,147,7.423539641425009,colored,chirp_interferer,1,CNN
0.022071000467670954,0.008864218196632152,-20.523595620852653,245,5.369915723019611,colored,chirp_interferer,2,CNN
0.046680427867817675,0.008112676231787729,-20.90835855850012,388,11.081683182543358,colored,regime_switch,0,CNN
0.006362613883692547,0.0016977710116876366,-27.7012088572482,134,6.897703276546446,colored,regime_switch,1,CNN
0.03329856407332182,0.00968533479895423,-20.13885362114769,147,12.494055992612902,colored,regime_switch,2,CNN
0.009791587866463378,0.00653484435636407,-21.847647517013236,141,8.899604667593453,impulsive,gaussian,0,CNN
0.009656040643986952,0.0054662281468277315,-22.623122458093192,136,8.960145071260222,impulsive,gaussian,1,CNN
0.009005090675095865,0.005621049075201379,-22.50182622956411,136,9.263255020128087,impulsive,gaussian,2,CNN
0.013329560188581896,0.009983347246037454,-20.007238227214728,142,7.5599777223465665,impulsive,colored,0,CNN
0.012969163658022321,0.008164810140501954,-20.880539095747967,140,7.679016215986794,impulsive,colored,1,CNN
0.011504497115271668,0.007855461910462403,-21.048282727880817,136,8.199459527157792,impulsive,colored,2,CNN
0.007090885663828877,0.003088072355375512,-25.10312532297938,139,10.301131095260638,impulsive,impulsive,0,CNN
0.006821640458040705,0.0031516363738420326,-25.014638957222655,136,10.46924766510319,impulsive,impulsive,1,CNN
0.0066294810919972575,0.003316419505117689,-24.793305391384525,136,10.593340559284183,impulsive,impulsive,2,CNN
0.011336179220965031,0.0018024227969459198,-27.44143328075451,140,8.845453539125359,impulsive,time_varying,0,CNN
0.011490960899505069,0.004938549426358268,-23.064005952472996,137,9.200140262007409,impulsive,time_varying,1,CNN
0.01766869210230965,0.0009282370568841754,-30.323410972902444,140,10.118396006726005,impulsive,time_varying,2,CNN
0.005561274584723195,0.002193270748443738,-26.589077533058678,136,11.356392535632118,impulsive,alpha_stable,0,CNN
0.006072717785415849,0.0029679647310548443,-25.27541264028109,136,10.974304933890641,impulsive,alpha_stable,1,CNN
0.005887681018234351,0.0025108635143243773,-26.00176893879061,138,11.108693193778985,impulsive,alpha_stable,2,CNN
0.009757592461354684,0.00408924966928703,-23.883563726646027,136,8.914709169659217,impulsive,burst,0,CNN
0.010148063896890066,0.00012534873518339274,-39.018800404161404,153,8.744303991675238,impulsive,burst,1,CNN
0.010556957584612763,0.01754504733923322,-17.55845455629007,136,8.572748155811437,impulsive,burst,2,CNN
0.019213714545996487,0.0031876155660771027,-24.96534060915936,362,5.972022580692961,impulsive,chirp_interferer,0,CNN
